backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired
UniVLA,LIBERO Goal,Guarded reuse,guarded_reuse_moderate,100,1,0,1.0000,1.0000,-1.0400,-3.1800,0.0400,-0.1921,0
UniVLA,LIBERO Goal,Temporal fusion,temporal_fusion_motion_entropy,100,7,4,3.0000,0.5488,-0.5100,-11.8700,11.2600,-0.0587,0
UniVLA,LIBERO Object,Foveation,fixed_foveation_keep20,100,4,0,4.0000,0.1250,-9.7800,-17.4800,-2.3400,-0.5328,0
UniVLA,LIBERO Object,Action repeat,action_repeat2,100,1,76,-75.0000,0.0000,120.3000,111.0400,129.5300,0.9062,0
UniVLA,LIBERO Object,Depth pruning,depth_pruning1,100,4,1,3.0000,0.3750,-2.5900,-10.8200,5.7800,-0.2728,0
UniVLA,LIBERO Object,Guarded reuse,guarded_reuse_aggressive,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0215,0
UniVLA,LIBERO Object,Temporal fusion,temporal_fusion_motion_entropy,100,3,1,2.0000,0.6250,-3.2600,-10.3600,3.7800,-0.3500,0
UniVLA,LIBERO Spatial,Foveation,fixed_foveation_keep50,100,5,4,1.0000,1.0000,0.6200,-6.6400,8.2900,0.2221,0
UniVLA,LIBERO Spatial,Action repeat,action_repeat2,100,0,68,-68.0000,0.0000,100.3200,92.7600,107.5300,1.8573,0
UniVLA,LIBERO Spatial,Depth pruning,depth_pruning1,100,5,4,1.0000,1.0000,-0.4800,-8.4400,7.1300,-0.1058,0
UniVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_aggressive,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0345,0
UniVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_conservative_adaptive,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0089,0
OpenVLA,LIBERO Long,Foveation,fixed_foveation_keep50,100,8,20,-12.0000,0.0357,13.5200,-11.7800,39.9100,5.1952,0
OpenVLA,LIBERO Long,Action repeat,action_repeat2,100,10,20,-10.0000,0.0987,10.6800,-14.6700,36.6600,-30.1108,0
OpenVLA,LIBERO Long,Depth pruning,depth_pruning1,100,16,19,-3.0000,0.7359,1.8300,-25.0000,28.0800,-0.9493,0
OpenVLA,LIBERO Long,Guarded reuse,guarded_reuse_strict,100,8,13,-5.0000,0.3833,1.0800,-18.6300,20.9000,-1.6918,0
OpenVLA,LIBERO Long,Temporal fusion,temporal_fusion_motion_entropy,100,9,16,-7.0000,0.2295,13.5500,-11.2000,39.2900,2.8771,0
OpenVLA,LIBERO Goal,Foveation,fixed_foveation_keep50,100,10,10,0.0000,1.0000,-0.3000,-15.3900,13.9800,0.7686,0
OpenVLA,LIBERO Goal,Action repeat,action_repeat2,100,10,17,-7.0000,0.2478,17.5700,0.3100,35.2100,-10.8883,0
OpenVLA,LIBERO Goal,Depth pruning,depth_pruning1,100,12,15,-3.0000,0.7011,7.8400,-9.8200,24.6000,0.4545,0
OpenVLA,LIBERO Goal,Guarded reuse,guarded_reuse_aggressive,100,8,11,-3.0000,0.6476,6.2900,-6.7900,21.1800,-1.8851,0
OpenVLA,LIBERO Goal,Temporal fusion,temporal_fusion_conservative_adaptive,100,5,3,2.0000,0.7266,1.0700,-7.9200,10.7800,0.2081,0
OpenVLA,LIBERO Object,Foveation,fixed_foveation_keep50,100,10,11,-1.0000,1.0000,0.2900,-13.8200,14.5900,1.0904,0
OpenVLA,LIBERO Object,Action repeat,action_repeat2,100,10,13,-3.0000,0.6776,8.0700,-4.2500,20.2900,-12.5326,0
