backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired,in_table
SpatialVLA,WidowX,Foveation,fixed_foveation_keep20,200,21,11,5.0000,0.1102,0.4200,-1.1500,1.9450,1.1933,0,1
SpatialVLA,WidowX,Foveation,fixed_foveation_keep50,200,19,20,-0.5000,1.0000,0.9150,-1.0200,2.8250,1.4109,0,0
SpatialVLA,WidowX,Guarded reuse,guarded_reuse_aggressive,200,2,1,0.5000,1.0000,-0.0200,-0.1000,0.0550,-0.0504,0,1
SpatialVLA,WidowX,Guarded reuse,guarded_reuse_moderate,200,1,1,0.0000,1.0000,-0.0350,-0.1650,0.0700,0.0544,0,0
SpatialVLA,WidowX,Guarded reuse,guarded_reuse_strict,200,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0426,0,0
SpatialVLA,WidowX,Temporal fusion,temporal_fusion_conservative_adaptive,200,1,1,0.0000,1.0000,0.5450,-0.1700,1.7350,0.3546,0,0
SpatialVLA,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,15,13,1.0000,0.8506,0.1900,-1.2650,1.7200,0.2834,0,1
SpatialVLA,WidowX,Temporal fusion,temporal_fusion_task_aware,200,8,10,-1.0000,0.8145,0.3300,-0.7800,1.4800,0.2862,0,0
UniVLA,WidowX,Action repeat,action_repeat2,200,2,152,-75.0000,0.0000,41.7200,37.3450,46.0800,2.3947,0,1
UniVLA,WidowX,Action repeat,action_repeat4,200,1,170,-84.5000,0.0000,44.3050,40.3050,48.7050,0.0888,0,0
UniVLA,WidowX,Depth pruning,depth_pruning1,200,8,19,-5.5000,0.0522,2.2400,0.2850,4.2200,0.2438,0,0
UniVLA,WidowX,Depth pruning,depth_pruning2,200,8,19,-5.5000,0.0522,1.4250,-0.7300,3.4150,0.0091,0,1
UniVLA,WidowX,Depth pruning,depth_pruning4,200,9,21,-6.0000,0.0428,2.1050,-0.1800,4.2200,-0.1727,0,0
UniVLA,WidowX,Foveation,fixed_foveation_keep20,200,11,28,-8.5000,0.0095,4.3550,1.7750,6.8900,0.8654,0,1
UniVLA,WidowX,Foveation,fixed_foveation_keep50,200,9,38,-14.5000,0.0000,7.1550,4.6250,9.6350,1.3184,0,0
UniVLA,WidowX,Guarded reuse,guarded_reuse_aggressive,200,0,2,-1.0000,0.5000,0.3500,-0.1900,1.0300,0.0585,0,0
UniVLA,WidowX,Guarded reuse,guarded_reuse_moderate,200,0,0,0.0000,1.0000,-0.1450,-0.4350,0.0350,-0.0672,0,1
UniVLA,WidowX,Guarded reuse,guarded_reuse_strict,200,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0062,0,0
UniVLA,WidowX,Temporal fusion,temporal_fusion_conservative_adaptive,200,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0215,0,1
UniVLA,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,6,17,-5.5000,0.0347,1.4100,-0.4950,3.2300,0.1994,0,0
UniVLA,WidowX,Temporal fusion,temporal_fusion_task_aware,200,5,84,-39.5000,0.0000,-7.6800,-10.0700,-5.4850,-0.7346,0,0
CogACT,Fractal,Action repeat,action_repeat2,250,16,19,-1.2000,0.7359,1.8920,-0.8800,4.6240,-1.8931,0,1
CogACT,Fractal,Action repeat,action_repeat4,250,23,70,-18.8000,0.0000,13.3320,9.5240,16.9920,-1.8986,0,0
CogACT,Fractal,Depth pruning,depth_pruning1,250,6,10,-1.6000,0.4545,-0.5960,-2.0040,0.8680,-0.0518,0,0
CogACT,Fractal,Depth pruning,depth_pruning2,250,7,10,-1.2000,0.6291,-0.8440,-2.6480,0.9480,-0.1698,0,0
CogACT,Fractal,Depth pruning,depth_pruning4,250,9,9,0.0000,1.0000,-0.8560,-2.6840,1.0080,-0.3649,0,1
CogACT,Fractal,Foveation,fixed_foveation_keep20,250,11,16,-2.0000,0.4421,0.5440,-1.5240,2.6880,1.0349,0,0
CogACT,Fractal,Foveation,fixed_foveation_keep50,250,12,11,0.4000,1.0000,-0.4360,-2.3760,1.6040,1.0589,0,1
CogACT,Fractal,Guarded reuse,guarded_reuse_aggressive,250,5,5,0.0000,1.0000,-1.1440,-2.4880,0.1160,0.1252,0,0
CogACT,Fractal,Guarded reuse,guarded_reuse_moderate,250,5,4,0.4000,1.0000,-0.3480,-1.6640,0.9920,-0.0167,0,1
CogACT,Fractal,Guarded reuse,guarded_reuse_strict,250,0,0,0.0000,1.0000,-0.0720,-0.3040,0.1680,-0.0256,0,0
CogACT,Fractal,Temporal fusion,temporal_fusion_conservative_adaptive,250,1,4,-1.2000,0.3750,-0.2320,-1.1400,0.5720,0.0627,0,1
CogACT,Fractal,Temporal fusion,temporal_fusion_motion_entropy,250,4,9,-2.0000,0.2668,-0.1040,-1.6840,1.4440,0.3146,0,0
CogACT,Fractal,Temporal fusion,temporal_fusion_task_aware,250,4,9,-2.0000,0.2668,-0.1040,-1.6840,1.4440,0.0751,0,0
CronusVLA,Fractal,Action repeat,action_repeat2,250,15,8,2.8000,0.2100,6.0920,3.7920,8.6560,-1.5103,0,1
CronusVLA,Fractal,Action repeat,action_repeat4,250,6,30,-9.6000,0.0001,22.7960,19.5640,26.2360,-1.3009,0,0
CronusVLA,Fractal,Depth pruning,depth_pruning1,250,9,7,0.8000,0.8036,-1.1680,-2.8920,0.4840,-0.2969,0,1
CronusVLA,Fractal,Depth pruning,depth_pruning2,250,4,14,-4.0000,0.0309,2.0560,0.3280,3.7760,0.0237,0,0
CronusVLA,Fractal,Depth pruning,depth_pruning4,250,4,15,-4.4000,0.0192,2.6440,0.9240,4.3840,-0.1858,0,0
CronusVLA,Fractal,Foveation,fixed_foveation_keep20,250,9,12,-1.2000,0.6636,0.0320,-1.8680,1.9840,1.1954,0,0
CronusVLA,Fractal,Foveation,fixed_foveation_keep50,250,12,9,1.2000,0.6636,-1.2400,-3.2000,0.5960,1.0536,0,1
CronusVLA,Fractal,Guarded reuse,guarded_reuse_aggressive,250,9,6,1.2000,0.6072,-0.6040,-2.2080,0.9480,-0.3358,0,1
CronusVLA,Fractal,Guarded reuse,guarded_reuse_moderate,250,4,6,-0.8000,0.7539,0.5360,-1.0360,2.0920,-0.0291,0,0
CronusVLA,Fractal,Guarded reuse,guarded_reuse_strict,250,6,9,-1.2000,0.6072,0.5920,-1.1800,2.3200,-0.0119,0,0
CronusVLA,Fractal,Temporal fusion,temporal_fusion_conservative_adaptive,250,9,5,1.6000,0.4240,-0.8000,-2.2920,0.6200,-0.0436,0,0
CronusVLA,Fractal,Temporal fusion,temporal_fusion_motion_entropy,250,9,5,1.6000,0.4240,-0.8000,-2.2920,0.6200,-0.0348,0,1
CronusVLA,Fractal,Temporal fusion,temporal_fusion_task_aware,250,9,5,1.6000,0.4240,-0.8000,-2.2920,0.6200,-0.0619,0,0
OpenVLA,Fractal,Action repeat,action_repeat2,250,38,27,4.4000,0.2145,-1.4000,-4.1760,1.5120,-5.4106,0,1
OpenVLA,Fractal,Action repeat,action_repeat4,250,34,34,0.0000,1.0000,2.7080,-0.0520,5.4880,-7.4425,0,0
OpenVLA,Fractal,Depth pruning,depth_pruning1,250,33,26,2.8000,0.4350,-1.4760,-4.1040,1.1600,-0.5526,0,0
OpenVLA,Fractal,Depth pruning,depth_pruning2,250,37,24,5.2000,0.1237,-2.4560,-5.3240,0.2760,-1.1470,0,1
OpenVLA,Fractal,Depth pruning,depth_pruning4,250,38,35,1.2000,0.8151,-1.5120,-4.5040,1.3920,-1.3966,0,0
OpenVLA,Fractal,Foveation,fixed_foveation_keep20,250,8,78,-28.0000,0.0000,11.9840,9.1160,14.9440,3.5779,0,0
OpenVLA,Fractal,Foveation,fixed_foveation_keep50,250,22,50,-11.2000,0.0013,3.9240,0.5320,7.1400,1.6057,0,1
OpenVLA,Fractal,Guarded reuse,guarded_reuse_aggressive,250,2,3,-0.4000,1.0000,-0.0640,-0.5800,0.3960,-0.3376,0,0
OpenVLA,Fractal,Guarded reuse,guarded_reuse_moderate,250,2,0,0.8000,0.5000,-0.1160,-0.4000,0.0920,-0.2244,0,1
OpenVLA,Fractal,Guarded reuse,guarded_reuse_strict,250,1,0,0.4000,1.0000,-0.0200,-0.2280,0.1120,-0.2609,0,0
