source,model,config,suite,n,successes,success,steps,episode_s,step_ms,calls,query_ms
results_corrected/cogact_base_simplerenv_fractal/depth_pruning4/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,depth_pruning4,google_robot_open_drawer,50,38,76.0,50.22,8.403788906233386,167.33948439333702,50.22,94.37582353912576
results_corrected/cogact_base_simplerenv_fractal/depth_pruning4/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,depth_pruning4,google_robot_pick_coke_can,50,49,98.0,20.38,3.1729847182473168,155.6911049189066,20.38,95.31319048507021
results_corrected/cogact_base_simplerenv_fractal/depth_pruning4/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,depth_pruning4,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,13.087395094577223,163.5924386822153,80.0,94.85112947717425
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep20/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_close_drawer,50,29,58.0,51.2,10.097936927194242,197.22533060926253,51.2,100.47201376678458
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep20/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_move_near,50,47,94.0,22.2,3.973159295171499,178.9711394221396,22.2,99.628253070625
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep20/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_open_drawer,50,36,72.0,54.3,10.535893118961248,194.03118082801564,54.3,99.57255693877195
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep20/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_pick_coke_can,50,50,100.0,18.9,3.418798680331092,180.88881906513717,18.9,100.95387886970664
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep20/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,14.982580310071352,187.2822538758919,80.0,100.34403077201569
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep50/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_close_drawer,50,34,68.0,46.74,9.43079613360809,201.77141920428096,46.74,102.57201109659947
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep50/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_move_near,50,46,92.0,23.14,4.285956756821833,185.21852881684674,23.14,102.30978883816172
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep50/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_open_drawer,50,40,80.0,50.22,9.996546382640954,199.05508527759764,50.22,101.31824858442516
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep50/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_pick_coke_can,50,48,96.0,21.6,4.006997610302642,185.50914862512232,21.6,101.13723608719064
results_corrected/cogact_base_simplerenv_fractal/fixed_foveation_keep50/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,15.408244314570911,192.6030539321364,80.0,102.2920727719611
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_aggressive/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_close_drawer,50,31,62.0,47.46,8.656970765676816,182.4056208528617,46.88,107.57779989653996
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_aggressive/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_move_near,50,47,94.0,22.54,3.637342484781984,161.37278104622823,22.5,102.36486214482122
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_aggressive/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_open_drawer,50,40,80.0,47.7,8.355513277545105,175.16799323993934,47.14,102.50469245383849
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_aggressive/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_pick_coke_can,50,49,98.0,20.46,3.354853116867598,163.9713155849266,20.46,104.36357211713968
