model,config,n,successes,success,steps,episode_s,step_ms,calls,query_ms,complete
openvla_libero,depth_pruning2,400,239,59.75,232.49,38.64953396482102,166.2417048682568,232.49,149.5973919281821,True
openvla_libero,depth_pruning4,400,180,45.0,265.0475,41.49029652241239,156.53909779346114,265.0475,140.18254869945892,True
openvla_libero,fixed_foveation_keep20,400,223,55.75,242.1275,43.6246998925347,180.1724293710326,242.1275,158.16062819813175,True
openvla_libero,fixed_foveation_keep50,400,288,72.0,215.795,38.97986788330949,180.63378615495952,215.795,158.52213849611383,True
openvla_libero,guarded_reuse_aggressive,400,284,71.0,216.97,34.43337227345881,158.70107514153483,195.16,157.7476692590751,True
openvla_libero,guarded_reuse_moderate,400,276,69.0,217.2325,36.122333394112644,166.2842042241039,206.005,157.7329363096669,True
openvla_libero,guarded_reuse_strict,400,289,72.25,214.405,36.263758679104505,169.136721061097,206.6575,158.02218797088062,True
openvla_libero,original,400,296,74.0,213.545,37.22353015437868,174.3123470667947,213.545,157.8054784370654,True
openvla_libero,temporal_fusion_conservative_adaptive,300,238,79.33333333333333,154.60333333333332,27.355208352510427,176.93802431498088,154.60333333333332,159.19602405755134,False
openvla_libero,temporal_fusion_motion_entropy,400,291,72.75,215.66,37.678963378741464,174.71465908718105,215.66,158.0297090724214,True
openvla_libero,temporal_fusion_task_aware,400,284,71.0,218.715,40.97491682021471,187.34388048471624,218.715,170.61795111714656,True
openvla_simplerenv,action_repeat2,200,56,28.0,60.495,7.878740279149616,130.23787551284596,30.33,158.1608506318182,True
openvla_simplerenv,action_repeat4,200,29,14.5,68.41,6.183165730198869,90.38394577106956,17.165,159.42736985707205,True
openvla_simplerenv,depth_pruning1,200,87,43.5,51.655,10.564920968037159,204.52852517737216,51.655,154.7416107030005,True
openvla_simplerenv,depth_pruning2,200,95,47.5,51.25,10.220284122570016,199.42017800136614,51.25,149.30575434975188,True
openvla_simplerenv,depth_pruning4,200,75,37.5,53.795,10.224570159061257,190.0654365472861,53.795,140.37873237898827,True
openvla_simplerenv,fixed_foveation_keep20,200,45,22.5,65.24,14.099579503313025,216.11863125863007,65.24,158.22429486634638,True
openvla_simplerenv,fixed_foveation_keep50,200,60,30.0,62.515,13.605177445865014,217.63060778797112,62.515,159.1774708128868,True
openvla_simplerenv,guarded_reuse_aggressive,200,82,41.0,52.695,10.515618982567307,199.5562953329027,49.39,158.38972541510915,True
openvla_simplerenv,guarded_reuse_moderate,200,83,41.5,52.115,10.495268396839162,201.38671009957136,49.605,158.47342330136087,True
openvla_simplerenv,guarded_reuse_strict,200,91,45.5,49.685,10.06930605712083,202.6628973960115,47.845,158.3349071240857,True
openvla_simplerenv,original,200,87,43.5,50.91,10.700440274944793,210.18346641022967,50.91,159.57960777645044,True
openvla_simplerenv,temporal_fusion_conservative_adaptive,200,96,48.0,48.52,10.104297428672615,208.25015310537128,48.52,158.17756004305076,True
