backbone,env,configuration,family,episodes,successes,success_pct,avg_steps,avg_policy_calls,avg_reuses,avg_episode_s,latency_ms_per_step,policy_query_latency_mean_ms,inference_cycle_mean_ms,delta_success_vs_original,delta_latency_ms_vs_original,delta_avg_steps_vs_original,win,loss,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,in_table,results_folder
CronusVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,200,73,36.50,49.68,48.99,0.69,6.067,122.13,82.95,122.13,2.50,-3.71,-0.88,11,6,0.332306,-0.88,-2.71,0.80,-0.29,1,cronusvla_simplerenv_bridge/guarded_reuse_aggressive
CronusVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,200,67,33.50,51.21,51.20,0.00,6.499,126.92,,,-0.50,1.08,0.65,9,10,1.000000,0.65,-0.98,2.33,0.14,1,cronusvla_simplerenv_bridge/temporal_fusion_motion_entropy
CronusVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,200,67,33.50,51.21,51.20,0.00,6.520,127.33,,,-0.50,1.48,0.65,9,10,1.000000,0.65,-0.98,2.33,0.16,0,cronusvla_simplerenv_bridge/temporal_fusion_task_aware
CronusVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,200,67,33.50,51.21,51.20,0.00,6.539,127.71,,,-0.50,1.87,0.65,9,10,1.000000,0.65,-0.98,2.33,0.18,0,cronusvla_simplerenv_bridge/temporal_fusion_conservative_adaptive
UniVLA,WidowX,original,Original,200,175,87.50,30.21,6.38,0.00,5.766,190.86,709.72,904.47,0.00,0.00,0.00,,,,,,,,1,univla_simplerenv_bridge/original
UniVLA,WidowX,fixed_foveation_keep20,Foveation,200,158,79.00,34.57,7.18,0.00,6.631,191.85,704.92,922.95,-8.50,0.99,4.35,11,28,0.009475,4.36,1.77,6.89,0.87,1,univla_simplerenv_bridge/fixed_foveation_keep20
UniVLA,WidowX,fixed_foveation_keep50,Foveation,200,146,73.00,37.37,7.75,0.00,7.084,189.60,696.28,914.11,-14.50,-1.27,7.16,9,38,0.000025,7.16,4.62,9.63,1.32,0,univla_simplerenv_bridge/fixed_foveation_keep50
UniVLA,WidowX,action_repeat2,Action repeat,200,25,12.50,71.93,7.25,36.25,8.161,113.45,705.80,1125.61,-75.00,-77.41,41.72,2,152,0.000000,41.72,37.34,46.08,2.39,1,univla_simplerenv_bridge/action_repeat2
UniVLA,WidowX,action_repeat4,Action repeat,200,6,3.00,74.52,3.74,56.10,5.855,78.57,721.37,1565.44,-84.50,-112.29,44.30,1,170,0.000000,44.30,40.30,48.70,0.09,0,univla_simplerenv_bridge/action_repeat4
UniVLA,WidowX,depth_pruning1,Depth pruning,200,164,82.00,32.45,6.81,0.00,6.010,185.20,687.48,882.49,-5.50,-5.66,2.24,8,19,0.052239,2.24,0.28,4.22,0.24,0,univla_simplerenv_bridge/depth_pruning1
UniVLA,WidowX,depth_pruning2,Depth pruning,200,164,82.00,31.64,6.63,0.00,5.775,182.55,676.61,870.40,-5.50,-8.31,1.43,8,19,0.052239,1.43,-0.73,3.42,0.01,1,univla_simplerenv_bridge/depth_pruning2
UniVLA,WidowX,depth_pruning4,Depth pruning,200,163,81.50,32.32,6.76,0.00,5.593,173.09,634.87,826.80,-6.00,-17.78,2.10,9,21,0.042774,2.10,-0.18,4.22,-0.17,0,univla_simplerenv_bridge/depth_pruning4
UniVLA,WidowX,guarded_reuse_strict,Guarded reuse,200,175,87.50,30.21,6.38,0.00,5.772,191.07,709.87,905.43,0.00,0.20,0.00,0,0,1.000000,0.00,0.00,0.00,0.01,0,univla_simplerenv_bridge/guarded_reuse_strict
UniVLA,WidowX,guarded_reuse_moderate,Guarded reuse,200,175,87.50,30.07,6.34,0.01,5.699,189.55,707.72,897.49,0.00,-1.31,-0.14,0,0,1.000000,-0.14,-0.43,0.04,-0.07,1,univla_simplerenv_bridge/guarded_reuse_moderate
UniVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,200,173,86.50,30.56,6.43,0.01,5.825,190.59,710.75,903.86,-1.00,-0.27,0.35,0,2,0.500000,0.35,-0.19,1.03,0.06,0,univla_simplerenv_bridge/guarded_reuse_aggressive
UniVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,200,164,82.00,31.62,6.62,0.00,5.965,188.66,710.33,900.43,-5.50,-2.21,1.41,6,17,0.034690,1.41,-0.49,3.23,0.20,0,univla_simplerenv_bridge/temporal_fusion_motion_entropy
UniVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,200,167,83.50,31.22,6.58,0.00,6.919,221.67,859.02,1050.77,-4.00,30.80,1.00,9,17,0.168638,1.00,-0.79,2.80,1.15,0,univla_simplerenv_bridge/temporal_fusion_task_aware
UniVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,200,175,87.50,30.21,6.38,0.00,5.788,191.58,712.58,907.84,0.00,0.71,0.00,0,0,1.000000,0.00,0.00,0.00,0.02,1,univla_simplerenv_bridge/temporal_fusion_conservative_adaptive
MiniVLA,WidowX,original,Original,200,72,36.00,63.84,63.84,0.00,9.542,149.46,97.85,105.63,0.00,0.00,0.00,,,,,,,,1,minivla_simplerenv/original
MiniVLA,WidowX,fixed_foveation_keep20,Foveation,200,56,28.00,63.37,63.37,0.00,10.152,160.22,103.56,117.77,-8.00,10.76,-0.48,23,39,0.055897,-0.47,-4.23,2.88,0.61,0,minivla_simplerenv/fixed_foveation_keep20
MiniVLA,WidowX,fixed_foveation_keep50,Foveation,200,70,35.00,62.91,62.91,0.00,9.839,156.39,98.54,113.15,-1.00,6.93,-0.93,28,30,0.895683,-0.93,-4.47,2.26,0.30,1,minivla_simplerenv/fixed_foveation_keep50
MiniVLA,WidowX,action_repeat2,Action repeat,200,60,30.00,66.94,33.55,33.40,6.636,99.13,98.00,56.88,-6.00,-50.33,3.10,15,27,0.088430,3.10,0.23,5.83,-2.91,1,minivla_simplerenv/action_repeat2
MiniVLA,WidowX,action_repeat4,Action repeat,200,58,29.00,66.92,16.83,50.09,4.956,74.06,98.56,32.52,-7.00,-75.40,3.08,26,40,0.108857,3.08,-0.43,6.50,-4.59,0,minivla_simplerenv/action_repeat4
MiniVLA,WidowX,depth_pruning1,Depth pruning,200,37,18.50,67.44,67.44,0.00,9.842,145.95,95.83,103.61,-17.50,-3.51,3.59,16,51,0.000022,3.60,-0.24,7.16,0.30,1,minivla_simplerenv/depth_pruning1
MiniVLA,WidowX,depth_pruning2,Depth pruning,200,0,0.00,75.00,75.00,0.00,10.344,137.92,91.85,99.58,-36.00,-11.55,11.16,0,72,0.000000,11.16,8.53,14.06,0.80,0,minivla_simplerenv/depth_pruning2
MiniVLA,WidowX,depth_pruning4,Depth pruning,200,0,0.00,75.00,75.00,0.00,9.843,131.24,85.52,93.34,-36.00,-18.22,11.16,0,72,0.000000,11.16,8.53,14.06,0.30,0,minivla_simplerenv/depth_pruning4
MiniVLA,WidowX,guarded_reuse_strict,Guarded reuse,200,77,38.50,62.65,60.69,1.96,9.117,145.53,97.39,103.19,2.50,-3.94,-1.19,11,6,0.332306,-1.19,-3.74,0.97,-0.42,1,minivla_simplerenv/guarded_reuse_strict
MiniVLA,WidowX,guarded_reuse_moderate,Guarded reuse,200,72,36.00,64.04,61.33,2.71,9.370,146.32,99.50,104.29,0.00,-3.15,0.20,13,13,1.000000,0.20,-2.20,2.76,-0.17,0,minivla_simplerenv/guarded_reuse_moderate
MiniVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,200,67,33.50,65.37,62.73,2.64,9.468,144.84,97.82,102.91,-2.50,-4.62,1.53,6,11,0.332306,1.53,-0.26,3.40,-0.07,0,minivla_simplerenv/guarded_reuse_aggressive
MiniVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,200,78,39.00,61.17,61.16,0.00,9.167,149.87,98.77,107.08,3.00,0.41,-2.68,20,14,0.391528,-2.67,-5.32,-0.25,-0.37,1,minivla_simplerenv/temporal_fusion_motion_entropy
MiniVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,200,71,35.50,63.64,63.64,0.00,10.309,161.99,110.48,118.85,-0.50,12.53,-0.20,19,20,1.000000,-0.20,-2.81,2.34,0.77,0,minivla_simplerenv/temporal_fusion_task_aware
MiniVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,200,77,38.50,63.09,63.09,0.00,9.375,148.60,97.70,105.88,2.50,-0.86,-0.75,15,10,0.424356,-0.75,-3.54,1.97,-0.17,0,minivla_simplerenv/temporal_fusion_conservative_adaptive
CogACT,Fractal,original,Original,250,167,66.80,44.78,44.78,0.00,7.567,168.99,99.94,,0.00,0.00,0.00,,,,,,,,1,cogact_base_simplerenv_fractal/original
CogACT,Fractal,fixed_foveation_keep20,Foveation,250,162,64.80,45.32,45.32,0.00,8.602,189.80,100.17,,-2.00,20.81,0.54,11,16,0.442068,0.54,-1.52,2.69,1.03,0,cogact_base_simplerenv_fractal/fixed_foveation_keep20
CogACT,Fractal,fixed_foveation_keep50,Foveation,250,168,67.20,44.34,44.34,0.00,8.626,194.54,102.02,,0.40,25.54,-0.44,12,11,1.000000,-0.44,-2.38,1.60,1.06,1,cogact_base_simplerenv_fractal/fixed_foveation_keep50
CogACT,Fractal,action_repeat2,Action repeat,250,164,65.60,46.67,23.50,0.00,5.674,121.57,102.44,,-1.20,-47.42,1.89,16,19,0.735879,1.89,-0.88,4.62,-1.89,1,cogact_base_simplerenv_fractal/action_repeat2
CogACT,Fractal,action_repeat4,Action repeat,250,120,48.00,58.11,14.72,0.00,5.668,97.55,104.04,,-18.80,-71.45,13.33,23,70,0.000001,13.33,9.52,16.99,-1.90,0,cogact_base_simplerenv_fractal/action_repeat4
CogACT,Fractal,depth_pruning1,Depth pruning,250,163,65.20,44.18,44.18,0.00,7.515,170.10,100.57,,-1.60,1.11,-0.60,6,10,0.454498,-0.60,-2.00,0.87,-0.05,0,cogact_base_simplerenv_fractal/depth_pruning1
CogACT,Fractal,depth_pruning2,Depth pruning,250,164,65.60,43.93,43.93,0.00,7.397,168.37,98.80,,-1.20,-0.62,-0.84,7,10,0.629059,-0.84,-2.65,0.95,-0.17,0,cogact_base_simplerenv_fractal/depth_pruning2
CogACT,Fractal,depth_pruning4,Depth pruning,250,167,66.80,43.92,43.92,0.00,7.202,163.98,94.74,,0.00,-5.01,-0.86,9,9,1.000000,-0.86,-2.68,1.01,-0.36,1,cogact_base_simplerenv_fractal/depth_pruning4
CogACT,Fractal,guarded_reuse_strict,Guarded reuse,250,167,66.80,44.70,44.70,0.00,7.541,168.69,99.52,,0.00,-0.30,-0.07,0,0,1.000000,-0.07,-0.30,0.17,-0.03,0,cogact_base_simplerenv_fractal/guarded_reuse_strict
CogACT,Fractal,guarded_reuse_moderate,Guarded reuse,250,168,67.20,44.43,44.38,0.05,7.550,169.94,100.82,,0.40,0.95,-0.35,5,4,1.000000,-0.35,-1.66,0.99,-0.02,1,cogact_base_simplerenv_fractal/guarded_reuse_moderate
CogACT,Fractal,guarded_reuse_aggressive,Guarded reuse,250,167,66.80,43.63,43.38,0.25,7.692,176.29,106.81,,0.00,7.30,-1.14,5,5,1.000000,-1.14,-2.49,0.12,0.13,0,cogact_base_simplerenv_fractal/guarded_reuse_aggressive
