backbone,env,configuration,family,task,task_description,episodes,successes,success_pct,avg_steps,avg_reuses,orig_episodes,orig_successes,orig_success_pct,orig_avg_steps,delta_success_pct,delta_avg_steps,delta_vs_original
OpenVLA,WidowX,depth_pruning4,Depth pruning,widowx_spoon_on_towel,,50,13,26.00,53.30,0.00,50,19,38.00,47.52,-12.00,5.78,-12.00
OpenVLA,WidowX,depth_pruning4,Depth pruning,widowx_stack_cube,,50,10,20.00,56.22,0.00,50,15,30.00,51.16,-10.00,5.06,-10.00
OpenVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_carrot_on_plate,,50,14,28.00,51.82,2.12,50,16,32.00,51.22,-4.00,0.60,-4.00
OpenVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_put_eggplant_in_basket,,50,39,78.00,49.66,0.24,50,37,74.00,53.74,4.00,-4.08,4.00
OpenVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_spoon_on_towel,,50,23,46.00,46.10,1.02,50,19,38.00,47.52,8.00,-1.42,8.00
OpenVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_stack_cube,,50,15,30.00,51.16,3.98,50,15,30.00,51.16,0.00,0.00,0.00
OpenVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_carrot_on_plate,,50,14,28.00,53.72,2.92,50,16,32.00,51.22,-4.00,2.50,-4.00
OpenVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_put_eggplant_in_basket,,50,35,70.00,54.80,1.64,50,37,74.00,53.74,-4.00,1.06,-4.00
OpenVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_spoon_on_towel,,50,20,40.00,48.14,1.42,50,19,38.00,47.52,2.00,0.62,2.00
OpenVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_stack_cube,,50,14,28.00,51.80,4.06,50,15,30.00,51.16,-2.00,0.64,-2.00
OpenVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_carrot_on_plate,,50,14,28.00,53.62,4.36,50,16,32.00,51.22,-4.00,2.40,-4.00
OpenVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_put_eggplant_in_basket,,50,35,70.00,56.34,1.58,50,37,74.00,53.74,-4.00,2.60,-4.00
OpenVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_spoon_on_towel,,50,19,38.00,48.96,0.98,50,19,38.00,47.52,0.00,1.44,0.00
OpenVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_stack_cube,,50,14,28.00,51.86,6.30,50,15,30.00,51.16,-2.00,0.70,-2.00
OpenVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_carrot_on_plate,,50,13,26.00,55.14,0.00,50,16,32.00,51.22,-6.00,3.92,-6.00
OpenVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_put_eggplant_in_basket,,50,30,60.00,65.40,0.00,50,37,74.00,53.74,-14.00,11.66,-14.00
OpenVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_spoon_on_towel,,50,27,54.00,45.50,0.00,50,19,38.00,47.52,16.00,-2.02,16.00
OpenVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_stack_cube,,50,12,24.00,53.32,0.00,50,15,30.00,51.16,-6.00,2.16,-6.00
OpenVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_carrot_on_plate,,50,23,46.00,49.38,0.00,50,16,32.00,51.22,14.00,-1.84,14.00
OpenVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_put_eggplant_in_basket,,50,37,74.00,51.62,0.00,50,37,74.00,53.74,0.00,-2.12,0.00
OpenVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_spoon_on_towel,,50,26,52.00,47.88,0.00,50,19,38.00,47.52,14.00,0.36,14.00
