model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
openvla_libero,LIBERO-Goal,openvla-7b,temporal_fusion_conservative_adaptive,10,100,77,77,158.66,158.66,0.0,159.206,160.737,161.911,163.634,27.96,5.675,2,1,N/A,2,0.25,64
openvla_libero,LIBERO-Object,openvla-7b,original,10,100,87,87,165.89,165.89,0.0,157.224,158.481,159.54,160.796,28.84,5.752,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Object,openvla-7b,fixed_foveation_keep50,10,100,86,86,166.18,166.18,0.0,157.836,163.632,165.999,172.742,29.93,5.552,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Object,openvla-7b,action_repeat2,10,100,84,84,173.96,87.22,86.74,156.752,157.97,157.482,159.914,16.31,10.668,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Object,openvla-7b,depth_pruning1,10,100,85,85,170.03,170.03,0.0,152.469,154.564,154.783,156.891,28.63,5.94,2,1,17,N/A,N/A,0.0
openvla_libero,LIBERO-Object,openvla-7b,guarded_reuse_aggressive,10,100,85,85,167.1,151.02,16.08,157.364,161.328,160.175,164.282,26.49,6.307,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Object,openvla-7b,temporal_fusion_task_aware,10,100,86,86,165.91,165.91,0.0,169.888,171.197,172.901,174.284,30.8,5.387,2,1,N/A,3,0.5,65
openvla_libero,LIBERO-Spatial,openvla-7b,original,10,100,78,78,133.91,133.91,0.0,160.146,161.145,162.448,163.433,24.24,5.525,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Spatial,openvla-7b,fixed_foveation_keep50,10,100,83,83,129.4,129.4,0.0,159.542,163.2,167.573,172.126,24.21,5.346,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Spatial,openvla-7b,action_repeat2,10,100,72,72,142.05,71.19,70.86,159.658,161.61,159.918,163.337,14.37,9.886,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Spatial,openvla-7b,depth_pruning1,10,100,62,62,149.98,149.98,0.0,153.2,155.451,155.52,157.78,26.25,5.713,2,1,8,N/A,N/A,0.0
openvla_libero,LIBERO-Spatial,openvla-7b,guarded_reuse_strict,10,100,82,82,129.59,126.97,2.62,158.822,160.137,161.615,163.002,23,5.634,2,1,N/A,N/A,N/A,0.0
openvla_libero,LIBERO-Spatial,openvla-7b,temporal_fusion_motion_entropy,10,100,85,85,125.72,125.72,0.0,158.862,159.978,161.754,163.045,22.73,5.531,2,1,N/A,3,0.5,124
smolvla_libero,Libero Long,SmolVLA-LIBERO,original,10,100,42,42,428.35,428.35,0.0,274.699,279.376,288.922,295.456,124,3.455,2,1,N/A,N/A,N/A,0
smolvla_libero,Libero Long,SmolVLA-LIBERO,fixed_foveation_keep50,10,100,21,21,477.84,477.84,0.0,277.819,281.055,305.848,312.616,146.45,3.263,2,1,N/A,N/A,N/A,0
smolvla_libero,Libero Long,SmolVLA-LIBERO,action_repeat2,10,100,31,31,443.45,221.8,221.65,278.117,280.136,286.798,294.949,67.46,6.573,2,1,N/A,N/A,N/A,0
smolvla_libero,Libero Long,SmolVLA-LIBERO,depth_pruning1,10,100,9,9,500.07,500.07,0.0,277.256,281.634,290.971,297.029,145.81,3.43,2,1,30,N/A,N/A,0
smolvla_libero,Libero Long,SmolVLA-LIBERO,guarded_reuse_aggressive,10,100,47,47,419.34,407.87,11.47,262.607,485.629,276.365,507.279,120.31,3.42,2,1,N/A,N/A,N/A,0
smolvla_libero,Libero Long,SmolVLA-LIBERO,temporal_fusion_motion_entropy,10,100,44,44,415.45,415.45,0.0,261.144,300.781,274.693,312.66,115.65,3.586,2,1,N/A,3,0.5,0
smolvla_libero,LIBERO-Goal,SmolVLA-LIBERO,original,10,100,80,80,147.66,147.66,0.0,278.882,284.949,294.455,301.529,43.66,3.382,2,1,N/A,N/A,N/A,0
smolvla_libero,LIBERO-Goal,SmolVLA-LIBERO,fixed_foveation_keep50,10,100,67,67,168.51,168.51,0.0,273.738,277.478,303.524,309.886,51.24,3.288,2,1,N/A,N/A,N/A,0
smolvla_libero,LIBERO-Goal,SmolVLA-LIBERO,action_repeat2,10,100,72,72,164.22,82.31,81.91,278.549,280.727,290.92,296.511,25.32,6.486,2,1,N/A,N/A,N/A,0
smolvla_libero,LIBERO-Goal,SmolVLA-LIBERO,depth_pruning1,10,100,62,62,187.03,187.03,0.0,278.101,288.609,293.013,303.969,54.9,3.407,2,1,30,N/A,N/A,0
smolvla_libero,LIBERO-Goal,SmolVLA-LIBERO,guarded_reuse_aggressive,10,100,77,77,151.78,147.48,4.3,259.711,300.718,274.355,314.682,38.77,3.869,2,1,N/A,N/A,N/A,0
