backbone,environment,setting,n,fail_to_success,success_to_fail,delta_points,p_mcnemar,in_table
SmolVLA,LIBERO Spatial,"Temporal fusion, task-aware",100,14,8,+6.0,0.2863,1
SmolVLA,LIBERO Spatial,"Temporal fusion, conservative-adaptive",100,13,11,+2.0,0.8388,0
UniVLA,LIBERO Spatial,"Foveation, keep 20%",100,1,5,-4.0,0.2188,0
UniVLA,LIBERO Spatial,"Foveation, keep 50%",100,5,4,+1.0,1.0000,1
UniVLA,LIBERO Spatial,"Action repeat, k=2",100,0,68,-68.0,0.0000,1
UniVLA,LIBERO Spatial,"Action repeat, k=4",100,0,95,-95.0,0.0000,0
UniVLA,LIBERO Spatial,"Depth pruning, 1 layer",100,5,4,+1.0,1.0000,1
UniVLA,LIBERO Spatial,"Depth pruning, 2 layers",100,5,6,-1.0,1.0000,0
UniVLA,LIBERO Spatial,"Depth pruning, 4 layers",100,4,5,-1.0,1.0000,0
UniVLA,LIBERO Spatial,"Guarded reuse, strict",100,0,0,+0.0,1.0000,1
UniVLA,LIBERO Spatial,"Guarded reuse, moderate",100,0,0,+0.0,1.0000,0
UniVLA,LIBERO Spatial,"Guarded reuse, aggressive",100,0,0,+0.0,1.0000,0
UniVLA,LIBERO Spatial,"Temporal fusion, motion-entropy",100,1,5,-4.0,0.2188,0
UniVLA,LIBERO Spatial,"Temporal fusion, task-aware",100,1,4,-3.0,0.3750,0
UniVLA,LIBERO Spatial,"Temporal fusion, conservative-adaptive",100,0,0,+0.0,1.0000,1
